listing_data_air_conditioning,listing_data_num_bedrooms,address_lon,listing_data_lot_area_acres,listing_data_garage_or_park_sqft,address_address_line1,address_city,address_state,address_zipcode,last_sold_date,sold_price_history,last_sold_price,listing_data_num_bathrooms,address_lat,prop_taxes,listing_data_fireplace,year_built,listing_data_roof_type,listing_data_building_area_sq_ft,listing_data_heat_type,address_unit,listing_data_basement_area,address_slug,listing_data_lot_area_sqft
Central,3,-80.99236,0.0,,12427 Hunting Birds Ln,Charlotte,NC,28278,2017-01-18,"{""20130430"": 207000, ""20121120"": 294000, ""20170118"": 250000}",250000,2,35.0745,2479.1,1,2013,,3205,Yes,None,,12427-Hunting-Birds-Ln-Charlotte-NC-28278,-
Central,4,-80.96902,0.26,490 ,12427 Sylvan Oak Way,Charlotte,NC,28273,2017-05-17,"{""20170517"": 303000}",303000,2,35.12263,3303.74,1,1997,I00,3429,Yes,None,,12427-Sylvan-Oak-Way-Charlotte-NC-28273,-
Central,3,-80.99397,0.0,,12428 Caracara Ct,Charlotte,NC,28278,2017-06-13,"{""20170613"": 297000, ""20100609"": 158000}",297000,2,35.07586,1917.39,1,2010,,1728,Yes,None,,12428-Caracara-Ct-Charlotte-NC-28278,-
Central,3,-80.98248,0.15,,12429 Cumberland Cove Dr,Charlotte,NC,28273,2017-05-26,"{""20170526"": 233000, ""20061110"": 248000}",233000,2,35.08809,2342.0,1,2006,,2569,Yes,None,,12429-Cumberland-Cove-Dr-Charlotte-NC-28273,-
Central,4,-80.9907001,0.0,,12429 Dove Meadow Dr,Charlotte,NC,28278,2017-03-03,"{""20170303"": 245000, ""20110428"": 165000}",245000,2,35.12187,2168.55,1,2011,,2225,Yes,None,,12429-Dove-Meadow-Dr-Charlotte-NC-28278,-
Central,3,-80.9926401,0.19,455 ,12429 Poplar Forest Dr,Charlotte,NC,28278,2017-06-22,"{""20170622"": 205000, ""20070327"": 150000, ""20150608"": 183500}",205000,2,35.13078,1706.45,1,1998,G00,1558,Yes,None,,12429-Poplar-Forest-Dr-Charlotte-NC-28278,-
Central,4,-80.86167,0.19,,12430 McAllister Park Dr,Charlotte,NC,28277,2017-07-17,"{""20170717"": 365000, ""20111115"": 5000}",365000,3,35.03229,3459.07,1,2004,,2655,Yes,None,,12430-McAllister-Park-Dr-Charlotte-NC-28277,-
Central,4,-80.9647301,0.2,,12432 Morning Creek Ln,Charlotte,NC,28214,2016-10-17,"{""20161017"": 212000, ""20050801"": 208500}",212000,2,35.32269,2375.66,1,2005,,2384,Yes,None,,12432-Morning-Creek-Ln-Charlotte-NC-28214,-
Central,3,-80.9926401,0.0,,12435 Hunting Birds Ln,Charlotte,NC,28278,2017-04-27,"{""20131126"": 178000, ""20170427"": 215500, ""20121120"": 294000, ""20160519"": 191000}",215500,2,35.07435,1699.06,1,2013,,1602,Yes,None,,12435-Hunting-Birds-Ln-Charlotte-NC-28278,-
Central,3,-80.744,0.19,,12436 Stowe Acres Dr,Charlotte,NC,28262,2016-08-12,"{""20160812"": 168000, ""20100527"": 119000}",168000,2,35.35852,1636.55,1,2005,,1728,Yes,None,,12436-Stowe-Acres-Dr-Charlotte-NC-28262,-
Central,4,-80.99278,0.0,,12439 Hunting Birds Ln,Charlotte,NC,28278,2017-07-14,"{""20170714"": 258000, ""20121120"": 294000, ""20140430"": 225000}",258000,3,35.07427,2193.85,1,2013,,2520,Yes,None,,12439-Hunting-Birds-Ln-Charlotte-NC-28278,-
Central,3,-80.80157,0.27,441 ,12445 Covington Ct,Charlotte,NC,28277,2017-02-15,"{""20170215"": 283000}",283000,2,35.03114,3174.3,1,1993,I00,2232,Yes,None,,12445-Covington-Ct-Charlotte-NC-28277,-
Central,3,-80.80446,0.04,,12445 Dunford St,Charlotte,NC,28277,2017-06-20,"{""20100806"": 186000, ""20170620"": 236000}",236000,2,35.04982,2213.22,1,2003,,1776,Yes,None,,12445-Dunford-St-Charlotte-NC-28277,-
Central,2,-80.7831,0.0,,12449 McGrath Dr,Charlotte,NC,28269,2016-06-30,"{""20100608"": 103000, ""20160630"": 93000}",93000,2,35.36444,1347.9,,2010,,1184,Yes,None,,12449-McGrath-Dr-Charlotte-NC-28269,-
None,3,-80.85601,0.29,,1245 Paddock Cir,Charlotte,NC,28209,2017-04-26,"{""20170426"": 382000}",382000,3,35.18014,3500.49,1,1961,G00,2874,Heat Pump,None,1387,1245-Paddock-Cir-Charlotte-NC-28209,-
Central,4,-80.83771,0.0,,1247 Badger Ct,Charlotte,NC,28206,2017-02-28,"{""20130826"": 290500, ""20170228"": 420000}",420000,3,35.25342,1840.42,,2013,,3060,Yes,None,,1247-Badger-Ct-Charlotte-NC-28206,-
Central,3,-80.8779501,0.17,,1247 Effingham Rd,Charlotte,NC,28208,2017-04-28,"{""20170428"": 77000, ""20061221"": 70000}",77000,1,35.23919,880.62,,1937,G00,1064,Yes,None,,1247-Effingham-Rd-Charlotte-NC-28208,-
Central,3,-80.9455301,0.94,606 ,12470 Preservation Pointe Dr,Charlotte,NC,28216,2017-05-15,"{""20170515"": 695000, ""20000523"": 573000}",695000,3,35.34516,7553.26,1,1999,I00,4285,Yes,None,1332,12470-Preservation-Pointe-Dr-Charlotte-NC-28216,-
Central,3,-80.89963,0.17,,1248 Edgewood Rd,Charlotte,NC,28208,2017-05-11,"{""20170511"": 2675000}",2675000,1,35.24894,989.35,1,1941,G00,1156,Yes,None,,1248-Edgewood-Rd-Charlotte-NC-28208,-
Central,3,-80.9027601,0.1,,1249 Allegiance Dr,Charlotte,NC,28217,2017-06-29,"{""20080325"": 145000, ""20170629"": 170000}",170000,2,35.14731,1548.53,1,2008,,1720,Yes,None,,1249-Allegiance-Dr-Charlotte-NC-28217,-
Central,3,-80.9472701,0.47,648 ,125 Benbow Ln,Charlotte,NC,28214,2016-10-20,"{""20161020"": 219000, ""19980710"": 143000}",219000,2,35.30732,2094.77,1,1969,G00,2808,Yes,None,648,125-Benbow-Ln-Charlotte-NC-28214,-
Central,2,-80.8047,0.13,,12500 Bobhouse Dr,Charlotte,NC,28277,2016-09-23,"{""20100628"": 220000, ""20160923"": 269000}",269000,2,35.04159,2677.24,1,2005,,1690,Yes,None,,12500-Bobhouse-Dr-Charlotte-NC-28277,-
Central,3,-80.66874,0.32,288 ,12500 Welland Trl,Charlotte,NC,28215,2017-04-25,"{""19891229"": 90000, ""20170425"": 5000}",5000,2,35.27341,1127.47,1,1989,G00,1440,Yes,None,,12500-Welland-Trl-Charlotte-NC-28215,-
Central,4,-80.71043,0.36,528 ,12501 Hammersmith Ct,Charlotte,NC,28262,2017-06-12,"{""20170612"": 258000, ""20140224"": 185000, ""19940901"": 140000}",258000,2,35.34415,2813.16,1,1990,G00,2760,Heat Pump,None,,12501-Hammersmith-Ct-Charlotte-NC-28262,-
Central,4,-80.7926001,0.61,,12502 Three Lakes Dr,Charlotte,NC,28277,2003-08-29,"{""20030829"": 535500}",535500,3,35.03914,6489.26,Y,2003,,3665,Yes,None,,12502-Three-Lakes-Dr-Charlotte-NC-28277,-
Central,2,-80.805393,0.08,,12504 Eudora Rd,Charlotte,NC,28277,2016-08-16,"{""20160816"": 176500, ""20110331"": 124000}",176500,2,35.039593,1540.12,,2002,,1462,Yes,None,,12504-Eudora-Rd-Charlotte-NC-28277,-
Central,3,-80.9971301,0.0,,12504 Generations St,Charlotte,NC,28278,2016-06-03,"{""20130305"": 216000, ""20160603"": 260000}",260000,2,35.09336,2375.66,1,2012,,2184,Yes,None,,12504-Generations-St-Charlotte-NC-28278,-
Central,4,-80.79133,0.49,525 ,12504 Long Cove Dr,Charlotte,NC,28277,2016-06-10,"{""19990203"": 305000, ""20140423"": 465000, ""20160610"": 525000}",525000,3,35.03204,5110.72,1,1993,I00,3103,Yes,None,,12504-Long-Cove-Dr-Charlotte-NC-28277,-
Central,3,-80.7445401,0.19,471 ,12504 Shelly Pines Dr,Charlotte,NC,28262,2016-06-29,"{""20010601"": 136000, ""20160629"": 133500}",133500,2,35.35716,1542.07,1,1997,G00,1754,Yes,None,,12504-Shelly-Pines-Dr-Charlotte-NC-28262,-
Central,3,-80.79169,0.19,,12505 Dervish Ln,Charlotte,NC,28269,2017-05-16,"{""20030224"": 134000, ""20170516"": 151500}",151500,2,35.37813,1425.56,,2002,,1600,Yes,None,,12505-Dervish-Ln-Charlotte-NC-28269,-
Central,2,-80.78969,0.02,,12505 Jessica Pl,Charlotte,NC,28269,2017-05-30,"{""20111216"": 76000, ""20170530"": 116000}",116000,1,35.36558,1132.39,,1999,G00,1328,Yes,None,,12505-Jessica-Pl-Charlotte-NC-28269,-
Central,3,-80.74679,0.0,,12507 Cheryl Anne Pl,Charlotte,NC,28262,2016-07-19,"{""20141031"": 142000, ""20160719"": 170000, ""20031231"": 138000}",170000,2,35.3565,1567.95,1,1996,,1722,Yes,None,,12507-Cheryl-Anne-Pl-Charlotte-NC-28262,-
Central,4,-80.99383,0.0,,12508 Hunting Birds Ln,Charlotte,NC,28278,2017-04-11,"{""20170411"": 252000, ""20120518"": 187500}",252000,3,35.07431,2603.08,1,2011,,3135,Yes,None,,12508-Hunting-Birds-Ln-Charlotte-NC-28278,-
Central,2,-80.78957,0.02,,12509 Jessica Pl,Charlotte,NC,28269,2017-07-05,"{""20170705"": 126000, ""20080501"": 126000}",126000,2,35.36563,1207.47,,1999,G00,1440,Yes,None,,12509-Jessica-Pl-Charlotte-NC-28269,-
Central,4,-80.79284,0.28,746 ,12509 Portmarnock Ct,Charlotte,NC,28277,2016-07-01,"{""20000321"": 396500, ""20160701"": 488000}",488000,3,35.03689,5511.99,1,1999,I00,4190,Yes,None,,12509-Portmarnock-Ct-Charlotte-NC-28277,-
,3,-80.83785,0.1,,1251 Badger Ct,Charlotte,NC,28206,2016-09-16,"{""20160916"": 369000}",369000,2,35.25346,1661.15,,2013,,2341,,None,,1251-Badger-Ct-Charlotte-NC-28206,-
Central,3,-80.79018,0.46,,1251 E Barden Rd,Charlotte,NC,28226,2017-05-12,"{""19890228"": 133000, ""20170512"": 360000}",360000,3,35.14393,3138.05,1,1968,I00,2950,Yes,None,1102,1251-E-Barden-Rd-Charlotte-NC-28226,-
Central,3,-80.80877,0.49,,1251 Holroyd Ct,Charlotte,NC,28211,2017-03-03,"{""20170303"": 655500}",655500,2,35.17806,5027.88,1,1956,G00,2298,Yes,None,,1251-Holroyd-Ct-Charlotte-NC-28211,-
Central,4,-80.76436,0.34,,1251 Squire Dr,Charlotte,NC,28211,2017-07-14,"{""20170714"": 365000, ""19961001"": 159000, ""20160307"": 243000}",365000,2,35.16625,2932.25,1,1985,G00,2320,Yes,None,,1251-Squire-Dr-Charlotte-NC-28211,-
Central,3,-80.65676,0.0,,12510 Bending Branch Rd,Charlotte,NC,28227,2017-05-19,"{""20120912"": 153500, ""20170519"": 224000}",224000,2,35.23062,1979.57,1,2012,,2372,Yes,None,,12510-Bending-Branch-Rd-Charlotte-NC-28227,-
Central,3,-80.7817001,0.24,420 ,12510 Heritage Hills Ln,Charlotte,NC,28269,2016-09-02,"{""20160902"": 171000, ""20071219"": 142000}",171000,2,35.35609,1698.68,1,1999,G00,1609,Yes,None,,12510-Heritage-Hills-Ln-Charlotte-NC-28269,-
Central,3,-80.74682,0.0,,12511 Cheryl Anne Pl,Charlotte,NC,28262,2016-06-10,"{""20110523"": 127000, ""20160610"": 170000}",170000,2,35.35674,1643.02,1,1997,,1829,Yes,None,,12511-Cheryl-Anne-Pl-Charlotte-NC-28262,-
Central,4,-80.9767201,0.26,460 ,12511 Ivey Creek Dr,Charlotte,NC,28273,2017-01-27,"{""20100602"": 227000, ""20170127"": 275000}",275000,2,35.11953,3211.84,1,1999,G00,3274,Yes,None,,12511-Ivey-Creek-Dr-Charlotte-NC-28273,-
Central,3,-80.66896,0.3,441 ,12512 Welland Trl,Charlotte,NC,28215,2017-04-25,"{""20000428"": 109000, ""20170425"": 2500}",2500,2,35.27404,1147.22,1,1989,G00,1339,Yes,None,,12512-Welland-Trl-Charlotte-NC-28215,-
Central,3,-80.98254,0.21,,12513 Cumberland Cove Dr,Charlotte,NC,28273,2016-09-21,"{""20110214"": 25000, ""20160921"": 233000}",233000,2,35.08874,2150.42,1,2006,,2207,Yes,None,,12513-Cumberland-Cove-Dr-Charlotte-NC-28273,-
Central,4,-80.64642,0.3,462 ,12514 Rolling Rock Ct,Charlotte,NC,28215,2016-10-05,"{""20080228"": 202000, ""20161005"": 245000}",245000,2,35.24394,2144.49,1,1994,G00,2936,Yes,None,,12514-Rolling-Rock-Ct-Charlotte-NC-28215,-
Central,5,-81.0056601,0.0,,12514 Wood Warbler Dr,Charlotte,NC,28278,2017-03-30,"{""20090529"": 660000, ""20170330"": 628000}",628000,4,35.14193,6903.7,Y,2008,,4019,Yes,None,,12514-Wood-Warbler-Dr-Charlotte-NC-28278,-
Central,3,-80.9938801,0.0,,12515 Hunting Birds Ln,Charlotte,NC,28278,2017-06-15,"{""20130701"": 162000, ""20170615"": 210000}",210000,2,35.07378,1695.77,1,2013,,1602,Yes,None,,12515-Hunting-Birds-Ln-Charlotte-NC-28278,-
Central,3,-80.8041901,0.15,,12517 Bobhouse Dr,Charlotte,NC,28277,2017-06-09,"{""20170609"": 305000, ""20150227"": 280000}",305000,3,35.04114,3061.69,1,2005,,2221,Yes,None,,12517-Bobhouse-Dr-Charlotte-NC-28277,-
Central,4,-80.98835,0.0,,12517 Pine Terrace Ct,Charlotte,NC,28273,2017-07-18,"{""20170718"": 297000, ""20111014"": 245000}",297000,2,35.08493,3240.31,1,2011,,3554,Yes,None,,12517-Pine-Terrace-Ct-Charlotte-NC-28273,-
Central,3,-80.9768,0.26,506 ,12518 Walkers Down Ct,Charlotte,NC,28273,2016-09-16,"{""20160916"": 186000, ""20130426"": 165000}",186000,2,35.0998,2180.2,1,1991,G00,2002,Yes,None,,12518-Walkers-Down-Ct-Charlotte-NC-28273,-
Central,3,-80.8086501,0.66,264 ,1252 Andover Rd,Charlotte,NC,28211,2017-08-01,"{""20170801"": 1746000, ""20141219"": 525000}",1746000,2,35.17917,13015.62,1,1956,I00,2763,Yes,None,930,1252-Andover-Rd-Charlotte-NC-28211,-
Central,4,-80.9769401,0.28,420 ,12520 Ivey Creek Dr,Charlotte,NC,28273,2016-06-07,"{""20160607"": 205000, ""20120919"": 190000}",205000,2,35.12018,2643.6,1,1998,G00,2336,Yes,None,,12520-Ivey-Creek-Dr-Charlotte-NC-28273,-
Central,3,-80.66979,0.25,441 ,12521 Welland Trl,Charlotte,NC,28215,2017-02-15,"{""20170215"": 147000, ""20090622"": 86000}",147000,1,35.27385,1097.85,1,1989,G00,1339,Yes,None,,12521-Welland-Trl-Charlotte-NC-28215,-
Central,4,-80.86352,0.18,,12522 Chesley Dr,Charlotte,NC,28277,2016-06-08,"{""20160608"": 328000, ""20050131"": 249000}",328000,2,35.03171,3288.2,1,2004,,2427,Yes,None,,12522-Chesley-Dr-Charlotte-NC-28277,-
Central,3,-80.6693701,0.32,,12522 Welland Trl,Charlotte,NC,28215,2017-03-17,"{""20170317"": 143500, ""20050705"": 88500}",143500,2,35.27432,1119.79,1,1989,G00,1440,Yes,None,,12522-Welland-Trl-Charlotte-NC-28215,-
Central,2,-80.7892,0.02,,12523 Jessica Pl,Charlotte,NC,28269,2016-10-27,"{""20161027"": 105000}",105000,2,35.36575,1212.64,,1999,G00,1440,Yes,None,,12523-Jessica-Pl-Charlotte-NC-28269,-
Central,3,-80.9467501,0.89,504 ,12524 Delshire Ln,Charlotte,NC,28273,2017-05-30,"{""20170530"": 170000}",170000,2,35.1391,1772.46,1,1966,G00,1763,Yes,None,,12524-Delshire-Ln-Charlotte-NC-28273,-
Central,4,-80.8022801,0.36,572 ,12524 Parks Farm Ln,Charlotte,NC,28277,2017-04-13,"{""20170413"": 313500, ""20080620"": 238000}",313500,2,35.04705,2823.52,1,1989,G00,2289,Yes,None,,12524-Parks-Farm-Ln-Charlotte-NC-28277,-
Central,3,-80.98264,0.16,,12525 Cumberland Cove Dr,Charlotte,NC,28273,2016-06-13,"{""20160613"": 193000, ""20060825"": 177500}",193000,2,35.08914,1916.14,1,2006,,1817,Yes,None,,12525-Cumberland-Cove-Dr-Charlotte-NC-28273,-
Central,4,-80.7980501,0.23,,12525 Provincetowne Dr,Charlotte,NC,28277,2016-12-05,"{""20161205"": 360000}",360000,2,35.0509,3522.5,1,2003,,2841,Yes,None,,12525-Provincetowne-Dr-Charlotte-NC-28277,-
Central,3,-80.97633,0.25,529 ,12525 Walkers Down Ct,Charlotte,NC,28273,2016-06-30,"{""20140226"": 104400, ""20160630"": 211000}",211000,2,35.09942,1622.31,1,1989,G00,1882,Yes,None,,12525-Walkers-Down-Ct-Charlotte-NC-28273,-
Central,4,-80.97752,0.28,440 ,12528 Ivey Creek Dr,Charlotte,NC,28273,2017-02-16,"{""20170216"": 250000, ""20131122"": 3171, ""20161019"": 194500}",250000,2,35.12021,2735.5,1,2000,G00,2512,Yes,None,,12528-Ivey-Creek-Dr-Charlotte-NC-28273,-
Central,5,-80.9476001,0.55,506 ,12528 Overlook Mountain Dr,Charlotte,NC,28216,2017-06-16,"{""20170616"": 524000, ""19990603"": 358500, ""19990506"": 358500}",524000,3,35.34533,5049.88,1,1998,I00,4043,Yes,None,1615,12528-Overlook-Mountain-Dr-Charlotte-NC-28216,-
Central,3,-80.7889901,0.21,440 ,12529 Cardinal Point Rd,Charlotte,NC,28269,2016-07-28,"{""20091102"": 166000, ""20160728"": 190000}",190000,2,35.37981,2079.24,1,1998,I00,1930,Yes,None,,12529-Cardinal-Point-Rd-Charlotte-NC-28269,-
Central,3,-80.9664571,0.05,,12532 Hennigan Place Ln,Charlotte,NC,28214,2017-06-08,"{""20170608"": 117000, ""20060125"": 111000}",117000,2,35.335637,1114.27,,2003,,1468,Yes,None,,12532-Hennigan-Place-Ln-Charlotte-NC-28214,-
Central,3,-80.97782,0.3,460 ,12532 Ivey Creek Dr,Charlotte,NC,28273,2016-08-24,"{""20160824"": 254000, ""20070427"": 240000}",254000,2,35.12015,2795.04,1,1999,G00,2702,Yes,None,,12532-Ivey-Creek-Dr-Charlotte-NC-28273,-
Central,3,-80.8659301,0.05,,12533 Bluestem Ln,Charlotte,NC,28277,2017-06-28,"{""20120615"": 105000, ""20170628"": 175000, ""20160512"": 5000}",175000,2,35.03812,1572.48,1,1999,G00,1360,Yes,None,,12533-Bluestem-Ln-Charlotte-NC-28277,-
Central,3,-80.9947701,0.23,420 ,12533 Britton Wood Pl,Charlotte,NC,28278,2017-07-31,"{""20130626"": 149000, ""20170731"": 187000}",187000,2,35.13103,1857.9,1,1999,I00,1693,Yes,None,,12533-Britton-Wood-Pl-Charlotte-NC-28278,-
Central,5,-80.9486201,0.6,,12533 Preservation Pointe Dr,Charlotte,NC,28216,2017-05-24,"{""20140219"": 301000, ""20140110"": 488420, ""20170524"": 640000, ""20141212"": 520000}",640000,4,35.34756,8344.13,1,2006,,5449,Yes,None,,12533-Preservation-Pointe-Dr-Charlotte-NC-28216,-
Central,4,-80.99343,0.2,473 ,12534 Autumn Blaze Dr,Charlotte,NC,28278,2017-06-14,"{""20170614"": 198000, ""20060215"": 155000}",198000,2,35.13,1851.42,1,1998,G00,1730,Yes,None,,12534-Autumn-Blaze-Dr-Charlotte-NC-28278,-
Central,4,-80.78854,0.24,400 ,12536 Cardinal Point Rd,Charlotte,NC,28269,2017-07-31,"{""20091112"": 164000, ""20170731"": 209000}",209000,2,35.37942,2114.18,1,1998,G00,2196,Yes,None,,12536-Cardinal-Point-Rd-Charlotte-NC-28269,-
Central,2,-80.8660001,0.03,,12537 Bluestem Ln,Charlotte,NC,28277,2017-06-19,"{""20170619"": 159500, ""20120127"": 108000}",159500,2,35.03809,1569.89,1,1999,G00,1304,Yes,None,,12537-Bluestem-Ln-Charlotte-NC-28277,-
Central,2,-80.86605,0.02,,12541 Bluestem Ln,Charlotte,NC,28277,2017-07-07,"{""20170707"": 125000, ""20020702"": 92000}",125000,1,35.03806,1278.66,,1999,G00,982,Yes,None,,12541-Bluestem-Ln-Charlotte-NC-28277,-
Central,3,-80.8035601,0.13,,12543 Bobhouse Dr,Charlotte,NC,28277,2016-11-15,"{""20120402"": 241500, ""20161115"": 298000}",298000,3,35.0409,3072.04,1,2006,,2286,Yes,None,,12543-Bobhouse-Dr-Charlotte-NC-28277,-
Central,3,-80.71199,0.37,528 ,12549 Headquarters Farm Rd,Charlotte,NC,28262,2017-06-26,"{""20170626"": 200000, ""20101025"": 138000}",200000,2,35.34296,2316.11,1,1989,G00,1846,Heat Pump,None,,12549-Headquarters-Farm-Rd-Charlotte-NC-28262,-
Central,4,-80.94975,0.56,483 ,12551 Overlook Mountain Dr,Charlotte,NC,28216,2016-06-27,"{""20050429"": 412500, ""20160627"": 420000}",420000,3,35.34644,5104.25,1,1998,G00,3541,Yes,None,,12551-Overlook-Mountain-Dr-Charlotte-NC-28216,-
Central,5,-80.9490701,0.51,690 ,12552 Overlook Mountain Dr,Charlotte,NC,28216,2017-03-16,"{""19990728"": 466500, ""19990721"": 466500, ""20170316"": 580000}",580000,3,35.34697,5491.28,1,1999,I00,5807,Yes,None,1998,12552-Overlook-Mountain-Dr-Charlotte-NC-28216,-
Central,3,-80.8665501,0.04,,12575 Bluestem Ln,Charlotte,NC,28277,2017-06-13,"{""20070924"": 132000, ""20170613"": 150000, ""20150922"": 4000}",150000,2,35.03815,1572.48,1,1999,G00,1360,Yes,None,,12575-Bluestem-Ln-Charlotte-NC-28277,-
Central,4,-80.9529801,0.7,672 ,12579 Woodland Cove Ct,Charlotte,NC,28216,2016-12-30,"{""20050418"": 605000, ""20161230"": 610000}",610000,3,35.34554,6996.66,1,2000,G00,2678,Yes,None,,12579-Woodland-Cove-Ct-Charlotte-NC-28216,-
Central,3,-80.9758601,0.32,418 ,1258 Brook Farm Ln,Charlotte,NC,28214,2016-11-22,"{""20161122"": 140000}",140000,2,35.30986,1514.88,1,2000,G00,1491,Yes,None,,1258-Brook-Farm-Ln-Charlotte-NC-28214,-
Central,3,-80.86661,0.05,,12581 Bluestem Ln,Charlotte,NC,28277,2017-06-01,"{""20021016"": 117000, ""20170601"": 169000, ""20130916"": 127500}",169000,2,35.03826,1572.48,1,1999,G00,1360,Yes,None,,12581-Bluestem-Ln-Charlotte-NC-28277,-
Central,2,-80.78878,0.02,,12582 Jessica Pl,Charlotte,NC,28269,2017-01-04,"{""20060829"": 114000, ""20170104"": 111000}",111000,2,35.36503,1223.0,,1999,G00,1440,Yes,None,,12582-Jessica-Pl-Charlotte-NC-28269,-
Central,2,-80.7961401,0.45,644 ,126 Cabell Way,Charlotte,NC,28211,2017-05-02,"{""20120119"": 475000, ""20170502"": 537000}",537000,2,35.16714,5304.88,1,1980,I00,3064,Yes,None,,126-Cabell-Way-Charlotte-NC-28211,-
Central,3,-80.8063501,0.39,,126 N Wendover Rd,Charlotte,NC,28211,2017-06-09,"{""20071127"": 300000, ""20170609"": 425000}",425000,2,35.18461,3192.42,1,1952,G00,1677,Yes,None,,126-N-Wendover-Rd-Charlotte-NC-28211,-
Central,3,-80.75897,0.92,300 ,126 Sardis View Ln,Charlotte,NC,28270,2017-06-01,"{""20170601"": 290000, ""20040924"": 217500}",290000,2,35.12924,3868.1,1,1967,G00,1690,Yes,None,300,126-Sardis-View-Ln-Charlotte-NC-28270,-
Central,3,-80.95076,0.22,,126 Ventner Ct,Charlotte,NC,28214,2017-03-28,"{""19900604"": 8000, ""20170328"": 117000}",117000,2,35.2839,1368.61,,1991,G00,1680,Yes,None,,126-Ventner-Ct-Charlotte-NC-28214,-
Central,5,-80.7930201,0.98,504 ,12601 Long Cove Dr,Charlotte,NC,28277,2017-05-03,"{""19930309"": 405000, ""20170503"": 530000}",530000,4,35.03123,7230.95,1,1992,I00,4140,Yes,None,,12601-Long-Cove-Dr-Charlotte-NC-28277,-
Central,3,-80.96758,0.04,,12601 Tucker Crossing Ln,Charlotte,NC,28273,2017-04-24,"{""20061127"": 110000, ""20170424"": 127000}",127000,2,35.12351,1236.58,1,1996,G00,1374,Heat Pump,None,,12601-Tucker-Crossing-Ln-Charlotte-NC-28273,-
Central,4,-80.94892,0.71,588 ,12605 Preservation Pointe Dr,Charlotte,NC,28216,2017-05-16,"{""19981201"": 89500, ""20170516"": 525000}",525000,3,35.3484,5817.46,1,1999,I00,3221,Yes,None,,12605-Preservation-Pointe-Dr-Charlotte-NC-28216,-
Central,3,-80.75175,0.15,420 ,12607 Deaton Hill Dr,Charlotte,NC,28269,2016-09-09,"{""20160909"": 145000, ""20070330"": 148000}",145000,2,35.37015,1250.82,1,2000,G00,1345,Yes,None,,12607-Deaton-Hill-Dr-Charlotte-NC-28269,-
Central,4,-80.71305,0.76,538 ,12607 Headquarters Farm Rd,Charlotte,NC,28262,2017-06-14,"{""20170614"": 255000, ""20001221"": 260000}",255000,3,35.34293,3215.72,1,1996,G00,3894,Yes,None,1194,12607-Headquarters-Farm-Rd-Charlotte-NC-28262,-
Central,3,-80.74841,0.16,,12609 Hazy Valley Ct,Charlotte,NC,28269,2016-07-26,"{""20040426"": 164500, ""20160726"": 183000}",183000,2,35.37288,1775.05,1,2004,,2668,Yes,None,,12609-Hazy-Valley-Ct-Charlotte-NC-28269,-
Central,4,-80.71427,0.3,440 ,12610 Wetherburn Ln,Charlotte,NC,28262,2017-06-02,"{""19950901"": 165000, ""20141203"": 198000, ""20170602"": 240000}",240000,2,35.3442,2679.84,1,1990,I00,2638,Yes,None,,12610-Wetherburn-Ln-Charlotte-NC-28262,-
Central,3,-80.8667801,0.03,,12611 Bluestem Ln,Charlotte,NC,28277,2016-10-18,"{""20011231"": 117000, ""20161018"": 153000}",153000,2,35.03854,1572.48,1,1999,G00,1360,Yes,None,,12611-Bluestem-Ln-Charlotte-NC-28277,-
Central,3,-81.005045,0.0,,12611 Frank Wiley Ln,Charlotte,NC,28278,2017-07-25,"{""20170725"": 217000}",217000,2,35.127021,1770.37,1,2006,,2370,Yes,None,,12611-Frank-Wiley-Ln-Charlotte-NC-28278,-
Central,3,-80.99521,0.0,,12612 Hunting Birds Ln,Charlotte,NC,28278,2017-05-31,"{""20170531"": 300000, ""20130315"": 247500}",300000,3,35.07387,2271.75,1,2012,,2724,Yes,None,,12612-Hunting-Birds-Ln-Charlotte-NC-28278,-
Central,3,-80.9783,0.23,400 ,12613 Ivey Creek Dr,Charlotte,NC,28273,2016-07-18,"{""19981026"": 144000, ""20160718"": 205000}",205000,2,35.11927,2138.78,1,1998,G00,2038,Yes,None,,12613-Ivey-Creek-Dr-Charlotte-NC-28273,-
Central,3,-80.99564,0.19,462 ,12614 Beddingfield Dr,Charlotte,NC,28278,2016-11-01,"{""20000815"": 145500, ""20161101"": 180000}",180000,2,35.12769,1832.0,1,2000,G00,1705,Yes,None,,12614-Beddingfield-Dr-Charlotte-NC-28278,-
Central,3,-80.97831,0.02,,12614 Persimmon Tree Dr,Charlotte,NC,28273,2017-07-21,"{""20090819"": 130000, ""20170721"": 153000}",153000,2,35.10516,1613.25,,2008,,1499,Yes,None,,12614-Persimmon-Tree-Dr-Charlotte-NC-28273,-
Central,4,-80.656529,0.0,,12614 Sitka Ct,Charlotte,NC,28227,2016-07-07,"{""20160707"": 208000, ""20090609"": 193500}",208000,3,35.22623,2369.18,1,2009,,3268,Yes,None,,12614-Sitka-Ct-Charlotte-NC-28227,-
Central,4,-80.7974901,0.25,561 ,12615 Landing Green Dr,Charlotte,NC,28277,2016-07-05,"{""20160705"": 395000}",395000,2,35.03202,3983.3,1,1993,I00,3211,Yes,None,,12615-Landing-Green-Dr-Charlotte-NC-28277,-
