listing_data_air_conditioning,listing_data_num_bedrooms,address_lon,listing_data_lot_area_acres,listing_data_garage_or_park_sqft,address_address_line1,address_city,address_state,address_zipcode,last_sold_date,sold_price_history,last_sold_price,listing_data_num_bathrooms,address_lat,prop_taxes,listing_data_fireplace,year_built,listing_data_roof_type,listing_data_building_area_sq_ft,listing_data_heat_type,address_unit,listing_data_basement_area,address_slug,listing_data_lot_area_sqft
Central,3,-80.77506,0.35,420 ,10000 Prosperity Point Ln,Charlotte,NC,28269,2016-07-28,"{""20110224"": 130000, ""20160728"": 170000}",170000,2,35.34335,1905.79,1,1992,G00,1648,Yes,None,,10000-Prosperity-Point-Ln-Charlotte-NC-28269,-
Central,3,-80.78573,0.36,440 ,10001 Crayton Dr,Charlotte,NC,28269,2017-03-10,"{""20170310"": 190000, ""20100802"": 130000}",190000,2,35.35134,1723.27,1,1990,G00,1966,Yes,None,,10001-Crayton-Dr-Charlotte-NC-28269,-
Central,3,-80.77548,0.46,550 ,10002 Gardendale Ct,Charlotte,NC,28269,2017-07-07,"{""20170707"": 220000, ""20030826"": 159000}",220000,2,35.34442,2040.4,1,1994,G00,1792,Yes,None,,10002-Gardendale-Ct-Charlotte-NC-28269,-
Central,3,-80.8119301,0.0,,10003 Garrison Watch Ave,Charlotte,NC,28277,2017-04-28,"{""20170428"": 247500, ""20060331"": 197000, ""20140228"": 210000}",247500,2,35.03296,2421.61,1,2006,,1836,Yes,None,,10003-Garrison-Watch-Ave-Charlotte-NC-28277,-
Central,3,-80.8600901,0.0,,10003 Reindeer Way Ln,Charlotte,NC,28216,2016-07-18,"{""20060925"": 128500, ""20160718"": 132500}",132500,1,35.36048,1242.67,,2003,,1602,Yes,None,,10003-Reindeer-Way-Ln-Charlotte-NC-28216,-
Central,4,-80.97923,0.18,,10003 Shetland Ln,Charlotte,NC,28278,2016-08-05,"{""20070524"": 280000, ""20160805"": 277000}",277000,3,35.16094,2804.1,1,2005,,2734,Yes,None,,10003-Shetland-Ln-Charlotte-NC-28278,-
Central,3,-80.71541,0.04,200 ,10003 University Park Ln,Charlotte,NC,28213,2017-01-04,"{""20011214"": 127000, ""20170104"": 120500}",120500,2,35.30693,1305.84,,2001,G00,1558,Yes,None,,10003-University-Park-Ln-Charlotte-NC-28213,-
Central,3,-80.79681,0.3,,10004 Green Hedge Ave,Charlotte,NC,28269,2017-01-19,"{""20170119"": 152000}",152000,2,35.37031,1452.74,1,2003,,1595,Yes,None,,10004-Green-Hedge-Ave-Charlotte-NC-28269,-
Central,3,-80.79734,0.22,,10005 Green Hedge Ave,Charlotte,NC,28269,2016-12-01,"{""20040305"": 148500, ""20161201"": 120000}",120000,2,35.37026,1542.07,1,2003,,1797,Yes,None,,10005-Green-Hedge-Ave-Charlotte-NC-28269,-
Central,3,-80.96839,0.0,,10006 Granite Trail Ln,Charlotte,NC,28214,2016-08-10,"{""20160810"": 215000, ""20080228"": 207500}",215000,2,35.32826,2599.58,1,2007,,2673,Yes,None,,10006-Granite-Trail-Ln-Charlotte-NC-28214,-
Central,4,-80.83221,0.28,,10006 Hazelview Dr,Charlotte,NC,28277,2016-07-27,"{""20160727"": 580000}",580000,4,35.03136,6146.24,1,2003,,4654,Yes,None,,10006-Hazelview-Dr-Charlotte-NC-28277,-
Central,4,-80.8334401,0.46,484 ,10007 Zackery Ave,Charlotte,NC,28277,2016-09-22,"{""20160922"": 352000, ""19990201"": 223000}",352000,2,35.02808,3776.19,1,1998,G00,2741,Yes,None,,10007-Zackery-Ave-Charlotte-NC-28277,-
Central,3,-80.7744801,0.27,462 ,10008 Prosperity Point Ln,Charlotte,NC,28269,2017-04-13,"{""19930225"": 120500, ""20170413"": 195000, ""20140626"": 162500}",195000,2,35.34329,2074.06,1,1992,G00,1853,Yes,None,,10008-Prosperity-Point-Ln-Charlotte-NC-28269,-
Central,3,-80.78903,0.44,480 ,10009 Four Mile Creek Rd,Charlotte,NC,28277,2017-07-28,"{""20170728"": 289000}",289000,2,35.07828,2361.41,1,1979,G00,2334,Yes,None,,10009-Four-Mile-Creek-Rd-Charlotte-NC-28277,-
Central,2,-80.79104,9.99,,1001 Churchill Downs Ct,Charlotte,NC,28211,2016-06-17,"{""20160617"": 85000}",85000,2,35.18865,1179.63,,1988,G00,882,Yes,Apt H,,1001-Churchill-Downs-Ct-Apt-H-Charlotte-NC-28211,-
None,2,-80.8896001,0.28,,1001 Clanton Rd,Charlotte,NC,28217,2017-02-24,"{""20081125"": 10000, ""20170224"": 40000}",40000,1,35.20007,753.77,,1959,G00,953,Yes,None,,1001-Clanton-Rd-Charlotte-NC-28217,-
Central,3,-80.75993,0.45,,1001 Fox Hound Ct,Charlotte,NC,28212,2017-04-21,"{""20170421"": 110000}",110000,2,35.16674,1900.6,1,1970,G00,1667,Yes,None,,1001-Fox-Hound-Ct-Charlotte-NC-28212,-
Central,2,-80.8554917,0.2,,1001 Greenleaf Ave,Charlotte,NC,28202,2016-09-30,"{""20160405"": 266000, ""20051111"": 130000, ""20160930"": 194000}",194000,1,35.2307396,1591.55,,1930,G00,1194,Yes,Unit 1,,1001-Greenleaf-Ave-Unit-1-Charlotte-NC-28202,-
Central,2,-80.8554917,0.2,,1001 Greenleaf Ave,Charlotte,NC,28202,2016-09-30,"{""20051111"": 130000, ""20051222"": 170000, ""20160930"": 194000}",194000,1,35.2307396,1442.06,,1930,G00,1041,Yes,Unit 3,,1001-Greenleaf-Ave-Unit-3-Charlotte-NC-28202,-
Central,3,-80.7890901,0.27,,1001 Hickory Nut St,Charlotte,NC,28205,2016-07-05,"{""20160705"": 128000, ""20010831"": 118000}",128000,1,35.20124,1980.86,1,1955,I00,1262,Yes,None,,1001-Hickory-Nut-St-Charlotte-NC-28205,-
Central,3,-80.78737,3.71,462 ,1001 Jefferson Dr,Charlotte,NC,28270,2017-01-03,"{""20170103"": 800000}",800000,3,35.14941,7029.02,1,1953,G00,3556,Yes,None,484,1001-Jefferson-Dr-Charlotte-NC-28270,-
Central,3,-80.80631,0.33,,1001 Lunsford Pl,Charlotte,NC,28205,2016-06-23,"{""20160623"": 37000, ""20090109"": 147000}",37000,2,35.23837,1675.38,1,1947,G00,1365,Yes,None,,1001-Lunsford-Pl-Charlotte-NC-28205,-
None,3,-80.7920701,0.34,,1001 Nancy Dr,Charlotte,NC,28211,2016-11-18,"{""20161118"": 195000}",195000,1,35.18952,1987.34,,1962,G00,1674,Yes,None,1242,1001-Nancy-Dr-Charlotte-NC-28211,-
None,3,-80.85403,0.33,324 ,1001 Poindexter Dr,Charlotte,NC,28209,2017-03-06,"{""20170306"": 380000, ""20130315"": 260000}",380000,1,35.19169,3759.37,1,1943,G00,1547,Yes,None,260,1001-Poindexter-Dr-Charlotte-NC-28209,-
Central,3,-80.7444401,0.29,,1001 Richard Barry Dr,Charlotte,NC,28270,2016-07-28,"{""20060410"": 153000, ""20160219"": 100000, ""20160728"": 219000}",219000,2,35.13205,2097.36,1,1978,G00,1625,Yes,None,,1001-Richard-Barry-Dr-Charlotte-NC-28270,-
None,2,-80.8328801,0.16,,1001 Rodey Ave,Charlotte,NC,28206,2017-03-10,"{""20070501"": 50000, ""20170310"": 58000}",58000,1,35.25817,663.16,,1956,G00,945,Yes,None,,1001-Rodey-Ave-Charlotte-NC-28206,-
Central,4,-80.7654801,0.34,550 ,1001 Shadowbrook Ln,Charlotte,NC,28211,2016-07-27,"{""20031014"": 248000, ""20160727"": 322000}",322000,2,35.15922,3813.73,1,1980,I00,2675,Yes,None,,1001-Shadowbrook-Ln-Charlotte-NC-28211,-
Central,3,-80.9742801,0.82,,10010 Garrison Rd,Charlotte,NC,28278,2017-07-06,"{""20170706"": 72000}",72000,1,35.18895,1023.25,,1971,G00,1215,Yes,None,,10010-Garrison-Rd-Charlotte-NC-28278,-
Central,4,-80.7818301,0.0,,10010 Rocky Ford Club Rd,Charlotte,NC,28269,2017-05-16,"{""20070301"": 244500, ""20170516"": 265000}",265000,2,35.3806,2532.28,1,2006,,3135,Yes,None,,10010-Rocky-Ford-Club-Rd-Charlotte-NC-28269,-
Central,2,-80.93652,0.0,,10011 Kings Parade Blvd,Charlotte,NC,28273,2016-08-26,"{""20090910"": 190500, ""20160826"": 201000}",201000,2,35.13081,2026.83,,2009,,2310,Yes,None,,10011-Kings-Parade-Blvd-Charlotte-NC-28273,-
Central,2,-80.6970501,0.0,,10011 Plaza Road Ext,Charlotte,NC,28215,2017-05-22,"{""20170522"": 155000}",155000,2,35.26015,1406.14,,1981,,1336,Yes,None,,10011-Plaza-Road-Ext-Charlotte-NC-28215,-
Central,2,-80.86008,0.0,,10011 Reindeer Way Ln,Charlotte,NC,28216,2016-11-09,"{""20030530"": 109500, ""20161109"": 130000}",130000,2,35.36059,1186.72,,2003,,1426,Yes,None,,10011-Reindeer-Way-Ln-Charlotte-NC-28216,-
Central,3,-80.6648102,0.241,,10012 Arbordale Ave,Charlotte,NC,28215,2016-12-16,"{""20161216"": 75500}",75500,1,35.27742,720.66,,1977,G00,993,Forced Air Unit,None,,10012-Arbordale-Ave-Charlotte-NC-28215,LDR
Central,2,-80.6926101,0.08,,10012 Forest View Ln,Charlotte,NC,28213,2017-06-27,"{""20170627"": 145000, ""20021202"": 155000}",145000,2,35.30199,1584.14,1,2002,,1448,Yes,None,,10012-Forest-View-Ln-Charlotte-NC-28213,-
Central,3,-80.6680901,0.24,264 ,10012 Greenwood Ct,Charlotte,NC,28215,2016-06-17,"{""20070706"": 133000, ""20160617"": 166500}",166500,2,35.27789,1137.16,1,1989,G00,1452,Forced Air Unit,None,,10012-Greenwood-Ct-Charlotte-NC-28215,10454
Central,3,-80.93691,0.0,,10012 Kings Parade Blvd,Charlotte,NC,28273,2016-06-14,"{""20160614"": 199500, ""20070801"": 205000}",199500,2,35.13101,2160.14,1,2007,,2360,Yes,None,,10012-Kings-Parade-Blvd-Charlotte-NC-28273,-
Central,3,-80.7834801,0.31,403 ,10013 Avon Farm Ln,Charlotte,NC,28269,2016-12-07,"{""20130515"": 156500, ""20161207"": 190000}",190000,2,35.34857,1943.32,1,1989,G00,1753,Yes,None,,10013-Avon-Farm-Ln-Charlotte-NC-28269,-
Central,3,-80.81293,0.2,,10013 Barbee Dr,Charlotte,NC,28269,2017-03-10,"{""20161202"": 174500, ""20051115"": 187000, ""20170310"": 235000}",235000,2,35.35761,2373.06,1,2005,,2424,Yes,None,,10013-Barbee-Dr-Charlotte-NC-28269,-
Central,3,-80.8428192,0.0,,10013 Juniper Trace Dr,Charlotte,NC,28277,2017-03-06,"{""20170306"": 254000, ""20110628"": 174000}",254000,2,35.0244217,2117.42,,2011,,1882,Yes,None,,10013-Juniper-Trace-Dr-Charlotte-NC-28277,-
Central,3,-80.657441,0.0,,10014 Bristley Rd,Charlotte,NC,28227,2017-06-30,"{""20100812"": 128500, ""20170630"": 178000}",178000,2,35.224392,1565.36,,2010,,1630,Yes,None,,10014-Bristley-Rd-Charlotte-NC-28227,-
Central,3,-80.96868,0.0,,10014 Granite Trail Ln,Charlotte,NC,28214,2016-10-27,"{""20080314"": 251000, ""20161027"": 230000}",230000,2,35.32801,2518.03,1,2008,,2430,Yes,None,,10014-Granite-Trail-Ln-Charlotte-NC-28214,-
Central,3,-80.99502,0.14,441 ,10014 Orchard Grass Ct,Charlotte,NC,28278,2016-10-21,"{""20161021"": 178000, ""20011015"": 131000}",178000,2,35.12525,1672.79,1,2001,G00,1425,Yes,None,,10014-Orchard-Grass-Ct-Charlotte-NC-28278,-
,4,-80.7189401,0.25,,10015 Seven Oaks Dr,Charlotte,NC,28215,2017-05-04,"{""20170504"": 26200, ""20090729"": 210000}",26200,3,35.2806,2832.58,1,2009,,3428,,None,,10015-Seven-Oaks-Dr-Charlotte-NC-28215,-
Central,3,-80.77459,0.23,440 ,10016 Gardendale Ct,Charlotte,NC,28269,2016-06-01,"{""19930128"": 119000, ""20160601"": 179000}",179000,2,35.34443,1974.39,1,1992,G00,1673,Yes,None,,10016-Gardendale-Ct-Charlotte-NC-28269,-
Central,3,-80.82888,0.16,494 ,10016 Highlands Crossing Dr,Charlotte,NC,28277,2017-04-13,"{""20170413"": 240000}",240000,2,35.02391,2411.9,1,2000,G00,1620,Yes,None,,10016-Highlands-Crossing-Dr-Charlotte-NC-28277,-
Central,3,-80.9018801,0.23,,10016 Woody Ridge Rd,Charlotte,NC,28273,2016-12-01,"{""20161201"": 78000}",78000,1,35.12683,993.24,,1985,G00,1004,Yes,None,,10016-Woody-Ridge-Rd-Charlotte-NC-28273,-
Central,3,-80.99462,0.14,420 ,10017 Orchard Grass Ct,Charlotte,NC,28278,2016-08-24,"{""20160824"": 161000, ""20090925"": 128500}",161000,2,35.12562,1668.91,1,2001,G00,1306,Yes,None,,10017-Orchard-Grass-Ct-Charlotte-NC-28278,-
Central,3,-80.74716,0.3,,10017 Sardis Oaks Rd,Charlotte,NC,28270,2016-10-19,"{""20161019"": 156000}",156000,2,35.13542,2039.11,1,1975,G00,1844,Heat Pump,None,,10017-Sardis-Oaks-Rd-Charlotte-NC-28270,-
Central,3,-80.8032881,0.0,,10018 Goose Landing Dr,Charlotte,NC,28269,2017-08-01,"{""20141201"": 180500, ""20170801"": 222000}",222000,2,35.350336,1527.91,,2014,,1457,Yes,None,,10018-Goose-Landing-Dr-Charlotte-NC-28269,-
Central,3,-80.7155001,0.04,,10018 Pergola View Ct,Charlotte,NC,28213,2017-05-16,"{""20170516"": 120000}",120000,2,35.30785,1178.99,1,2000,G00,1360,Yes,None,,10018-Pergola-View-Ct-Charlotte-NC-28213,-
Central,3,-80.6894301,0.34,,10019 Back Acre Dr,Charlotte,NC,28213,2017-05-03,"{""20060127"": 269000, ""20170503"": 268000}",268000,2,35.29531,2477.92,1,2005,,3096,Yes,None,,10019-Back-Acre-Dr-Charlotte-NC-28213,-
Central,3,-80.96038,0.0,,10019 Loughlin Ln,Charlotte,NC,28273,2016-08-08,"{""20160808"": 233500}",233500,2,35.09964,2532.28,1,2012,,2186,Yes,None,,10019-Loughlin-Ln-Charlotte-NC-28273,-
Central,4,-80.85092,0.41,504 ,10019 Standing Stone Ct,Charlotte,NC,28210,2017-05-31,"{""20120607"": 348000, ""20170531"": 455000}",455000,2,35.09607,4453.16,1,1993,G00,3328,Yes,None,,10019-Standing-Stone-Ct-Charlotte-NC-28210,-
Central,3,-80.7970901,0.18,,10020 Green Hedge Ave,Charlotte,NC,28269,2017-06-22,"{""20170622"": 142500, ""20031031"": 134000}",142500,2,35.37099,1455.33,1,2003,,1595,Yes,None,,10020-Green-Hedge-Ave-Charlotte-NC-28269,-
Central,4,-80.7764801,0.34,484 ,10020 Lampkin Way,Charlotte,NC,28269,2016-07-25,"{""19901231"": 218000, ""20160725"": 280000}",280000,2,35.33872,3393.06,1,1989,I00,2937,Yes,None,,10020-Lampkin-Way-Charlotte-NC-28269,-
Central,4,-80.72096,0.18,400 ,10021 Baxter Caldwell Dr,Charlotte,NC,28213,2016-11-07,"{""19980807"": 155500, ""20000606"": 155500, ""20161107"": 167000}",167000,2,35.30112,1683.15,1,2000,G00,2092,Yes,None,,10021-Baxter-Caldwell-Dr-Charlotte-NC-28213,-
Central,3,-80.8121601,0.06,,10024 Garrison Watch Ave,Charlotte,NC,28277,2017-07-19,"{""20051230"": 190000, ""20170719"": 252000}",252000,2,35.0325,2347.83,1,2005,,1776,Yes,None,,10024-Garrison-Watch-Ave-Charlotte-NC-28277,-
Central,4,-80.7885001,0.48,528 ,10025 Stoneleigh Ln,Charlotte,NC,28277,2017-06-01,"{""20170601"": 280000, ""20160727"": 200000}",280000,2,35.07478,2883.06,1,1981,G00,2352,Heat Pump,None,1176,10025-Stoneleigh-Ln-Charlotte-NC-28277,-
Central,3,-80.85797,0.23,440 ,10026 Dauphine Dr,Charlotte,NC,28216,2016-08-05,"{""20010730"": 168500, ""20150202"": 153500, ""20160805"": 171000, ""20140709"": 145000}",171000,2,35.35914,1934.26,1,1998,G00,1996,Yes,None,,10026-Dauphine-Dr-Charlotte-NC-28216,-
Central,3,-80.78235,0.0,,10026 Rocky Ford Club Rd,Charlotte,NC,28269,2016-06-10,"{""20160610"": 188000, ""20100630"": 159000}",188000,2,35.38094,2134.9,1,2010,,2276,Yes,None,,10026-Rocky-Ford-Club-Rd-Charlotte-NC-28269,-
Central,4,-80.82289,0.0,,10026 Triple Oak Rd,Charlotte,NC,28277,2016-06-15,"{""20160615"": 535000, ""20131011"": 511000}",535000,3,35.02062,5452.44,1,2006,,3460,Yes,None,,10026-Triple-Oak-Rd-Charlotte-NC-28277,-
Central,5,-80.82593,0.0,,10027 Elizabeth Crest Ln,Charlotte,NC,28277,2016-05-31,"{""20160531"": 383000, ""20120928"": 278000}",383000,3,35.01983,3227.37,1,2010,,2840,Yes,None,,10027-Elizabeth-Crest-Ln-Charlotte-NC-28277,-
Central,3,-80.97052,0.24,441 ,10027 Meadowmead Ct,Charlotte,NC,28273,2017-04-04,"{""20170404"": 181000, ""20100319"": 135000}",181000,2,35.15465,1688.33,1,1997,G00,1587,Yes,None,,10027-Meadowmead-Ct-Charlotte-NC-28273,-
None,4,-80.6965601,0.0,,10027 Plaza Road Ext,Charlotte,NC,28215,2017-05-22,"{""20170522"": 155000}",155000,2,35.26041,1959.07,1,1965,,2106,Baseboard,None,,10027-Plaza-Road-Ext-Charlotte-NC-28215,-
,3,-80.71918,0.18,,10027 Seven Oaks Dr,Charlotte,NC,28215,2017-01-05,"{""20091218"": 188000, ""20170105"": 175000}",175000,3,35.28108,2235.86,1,2009,,2268,,None,,10027-Seven-Oaks-Dr-Charlotte-NC-28215,-
Central,4,-80.82892,0.2,460 ,10028 Highlands Crossing Dr,Charlotte,NC,28277,2017-01-09,"{""20170109"": 265703}",265703,2,35.02443,2801.51,1,2000,G00,2320,Yes,None,,10028-Highlands-Crossing-Dr-Charlotte-NC-28277,-
Central,3,-80.77069,0.87,,10028 Mallard Creek Rd,Charlotte,NC,28262,2017-04-04,"{""20170404"": 390000, ""19960806"": 55000}",390000,1,35.33783,1231.41,1,1950,G00,1259,Yes,None,,10028-Mallard-Creek-Rd-Charlotte-NC-28262,-
Central,3,-80.8136,0.26,,10028 Spring Park Dr,Charlotte,NC,28269,2017-07-17,"{""20160523"": 1500, ""20170717"": 265000, ""20150929"": 3500, ""20051108"": 186500}",265000,2,35.35813,2092.18,1,2002,,2140,Yes,None,,10028-Spring-Park-Dr-Charlotte-NC-28269,-
Central,3,-81.0001801,0.71,,10029 Withers Rd,Charlotte,NC,28278,2017-07-03,"{""20170703"": 190000}",190000,2,35.15141,2057.23,,1983,W00,2616,Yes,None,285,10029-Withers-Rd-Charlotte-NC-28278,-
Central,3,-80.9242601,0.2,,1003 Mossburg Ct,Charlotte,NC,28214,2016-09-21,"{""20040316"": 77500, ""20160921"": 91000}",91000,2,35.2717,1107.14,1,2000,G00,1119,Yes,None,,1003-Mossburg-Ct-Charlotte-NC-28214,-
Central,4,-80.74801,0.0,480 ,10030 Falmouth Ln,Charlotte,NC,28269,2016-06-02,"{""20160602"": 312500, ""20101124"": 263000}",312500,2,35.39588,2216.97,Y,2010,,3000,Forced Air Unit,None,,10030-Falmouth-Ln-Charlotte-NC-28269,-
Central,4,-80.98946,0.19,,10031 Barrands Ln,Charlotte,NC,28278,2017-06-30,"{""20080124"": 199500, ""20170630"": 247000}",247000,2,35.16437,2304.46,1,2006,,1936,Yes,None,,10031-Barrands-Ln-Charlotte-NC-28278,-
